ticket_id,account_id,subject,status,priority,severity,category,created_date,closed_date
TKT-062,CUST-001,Data export missing 3 custom fields,Open,Medium,P3,Export,2026-05-12,
TKT-063,CUST-001,Admin audit trail incomplete,Open,High,P2,Compliance,2026-05-20,
TKT-064,CUST-001,Mobile app crashing on login,Open,High,P2,Mobile,2026-05-26,
TKT-065,CUST-001,API endpoint returning 500 errors intermittently,Closed,High,P2,API,2026-03-10,2026-03-18
TKT-066,CUST-001,Multi-currency rounding issue,Open,Medium,P3,Billing,2026-03-25,
TKT-067,CUST-001,User session timing out too quickly,Closed,Medium,P3,Authentication,2026-04-05,2026-04-15
TKT-068,CUST-001,Chart visualizations not rendering in Safari,Open,Low,P4,UI,2026-04-18,
TKT-069,CUST-001,Scheduled jobs not running at configured time,Open,High,P2,Automation,2026-04-28,
TKT-070,CUST-001,Bulk delete taking >10 minutes,Open,Medium,P3,Performance,2026-05-10,
TKT-071,CUST-001,SAML SSO config not accepting IdP metadata,Open,High,P2,Authentication,2026-05-22,
TKT-072,CUST-001,Full platform outage — no access for any user,Closed,Critical,P1,Outage,2026-03-02,2026-03-02
TKT-073,CUST-001,Post-outage data corruption detected,Open,Critical,P1,Data Loss,2026-03-04,
TKT-074,CUST-001,Complete loss of transaction history,Open,Critical,P1,Data Loss,2026-03-08,
TKT-075,CUST-001,Billing system disconnected from ERP,Open,Critical,P1,Integration,2026-03-12,
TKT-076,CUST-001,User accounts inaccessible for entire org,Closed,Critical,P1,Access Control,2026-03-15,2026-03-16
TKT-077,CUST-001,Compliance reports not generating,Open,Critical,P1,Compliance,2026-03-20,
TKT-078,CUST-001,API completely unresponsive,Open,Critical,P1,API,2026-03-26,
TKT-079,CUST-001,All workflow automations disabled,Open,High,P2,Automation,2026-04-01,
TKT-080,CUST-001,Executive dashboard not loading,Open,High,P2,UI,2026-04-08,
TKT-081,CUST-001,Document signing integration broken,Open,High,P2,Integration,2026-04-15,
TKT-082,CUST-001,Custom roles permissions reset,Open,High,P2,Access Control,2026-04-22,
TKT-083,CUST-001,Audit logs missing entries since March,Open,High,P2,Compliance,2026-04-28,
TKT-084,CUST-001,Notifications not triggering for approvals,Open,Medium,P3,Notifications,2026-05-05,
TKT-085,CUST-001,Multi-office location data out of sync,Open,Medium,P3,Data Sync,2026-05-10,
TKT-086,CUST-001,Search index not rebuilding after import,Open,Medium,P3,Search,2026-05-15,
TKT-087,CUST-001,Performance degradation on list views,Open,High,P2,Performance,2026-05-18,
TKT-088,CUST-001,PDF generation queue backlogged,Open,Medium,P3,Documents,2026-05-21,
TKT-089,CUST-001,Calendar integration stopped syncing,Open,Medium,P3,Integration,2026-05-24,
TKT-090,CUST-001,Mobile push notifications not delivered,Open,Low,P4,Mobile,2026-05-27,
TKT-091,CUST-001,Minor spacing issue on summary report,Closed,Low,P4,UI,2026-05-20,2026-05-21
